Dog,ID,UTC.Date,UTC.Time,ActivityX,ActivityY,LocalDate,LocalDate2,LocalTime,timedate,conc,timedate.local,Duration,SumAct,SSDateTime,SSDate,SSTime,Bout,Intensity,PartOfDay,Stop.time.or.start,StopTime_Previous,Pack,Dusk,Dawn,Moonlight,Babysit,Babysit morning,Babysit evening,Denning,Temperature,Rainfall,n
132,WDM132,42137,0.309027778,17,12,42137,42137,0.434027778,42137.30903,WDM13242137,42137.43403,170,5853,42137.43403,42137,0.434027778,Start,34.42941,Daytime,0.552083333,42137.41319,Bahatis,42137.25278,42137.78819,0.492214535,no,no,no,No,27.9,0,1
133,WDM133,42309,0.215277778,34,25,42309,42309,0.340277778,42309.21528,WDM13342309,42309.34028,485,16678,42309.34028,42309,0.340277778,Start,34.38763,Daytime,0.677083333,42309.31944,Wobbegongs,42309.24444,42309.77847,4.152507907,no,no,no,No,28.14,7.62,1
136,WDM136,42854,0.465277778,71,79,42854,42854,0.590277778,42854.46528,WDM13642854,42854.59028,35,1196,42854.59028,42854,0.590277778,Start,34.17143,Daytime,0.614583333,42854.57292,Crocodiles,42854.25347,42854.78889,0.561171576,no,no,no,No,NA,NA,1
136,WDM136,42654,0.538194444,16,16,42654,42654,0.663194444,42654.53819,WDM13642654,42654.66319,70,2383,42654.66319,42654,0.663194444,Start,34.04286,Daytime,0.711805556,42654.65278,Macho,42654.24722,42654.78056,6.778055252,no,no,no,No,30.85,0,1
130,WDM130,42067,0.319444444,54,44,42067,42067,0.444444444,42067.31944,WDM13042067,42067.44444,175,5950,42067.44444,42067,0.444444444,Start,34,Daytime,0.565972222,42067.39583,Ol Pejeta,42067.26458,42067.79792,11.10990056,no,no,no,No,29.27,0,1
136,WDM136,42836,0.4375,0,1,42836,42836,0.5625,42836.4375,WDM13642836,42836.5625,275,9139,42836.5625,42836,0.5625,Start,33.23273,Daytime,0.753472222,42836.55208,Crocodiles,42836.25694,42836.79028,10.91325083,no,no,no,No,NA,NA,1
119,WDM119,41599,0.413194444,144,124,41599,41599,0.538194444,41599.41319,WDM11941599,41599.53819,115,3792,41599.53819,41599,0.538194444,Start,32.97391,Daytime,0.618055556,41599.51736,Loisaba,41599.24583,41599.78056,6.557268673,no,no,no,No,23.27,0,1
123,WDF123,41876,0.496527778,76,131,41876,41876,0.621527778,41876.49653,WDF12341876,41876.62153,35,1146,41876.62153,41876,0.621527778,Start,32.74286,Daytime,0.645833333,41876.60764,Crocodiles,41876.25764,41876.79167,0,no,no,no,Yes,27.9,39.88,1
133,WDM133,42295,0.527777778,175,255,42295,42295,0.652777778,42295.52778,WDM13342295,42295.65278,35,1139,42295.65278,42295,0.652777778,Start,32.54286,Daytime,0.677083333,42295.64236,Wobbegongs,42295.24583,42295.77917,1.520046487,no,no,no,No,28.52,0,1
130,WDM130,41903,0.451388889,72,62,41903,41903,0.576388889,41903.45139,WDM13041903,41903.57639,105,3412,41903.57639,41903,0.576388889,Start,32.49524,Daytime,0.649305556,41903.56597,Ol Pejeta,41903.25139,41903.78472,0.03922801,no,no,no,No,28.32,0,1
